ID,CURRENT_APPLICATION_NUMBER,CURRENT_INSTITUTE_NAME,INSTI_STATE,INSTITUTE_DISTRICT,INST_TYPE,PROGRAMME,AFFILIATING_UNIVERSITY,LEVEL_OF_COURSE,COURSE,ACCREDITATION_STATUS,ACCREDITATION_TYPE,ACCREDITATION_TILL,APPROVED_INTAKE
1,1-9317943927,MANIPUR INSTITUTE OF TECHNOLOGY,Manipur,IMPHAL WEST,Government,ENGINEERING AND TECHNOLOGY,"Manipur University, Imphal",UNDER GRADUATE,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2023,60
2,1-9317977631,DR MAHALINGAM COLLEGE OF ENGINEERING AND TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,ACCREDITED,NBA,30-06-2022,120
3,1-9317977631,DR MAHALINGAM COLLEGE OF ENGINEERING AND TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2022,120
4,1-9317977631,DR MAHALINGAM COLLEGE OF ENGINEERING AND TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2022,120
5,1-9317977631,DR MAHALINGAM COLLEGE OF ENGINEERING AND TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,120
6,1-9317971751,GIRIJANANDA CHOWDHURY INSTITUTE OF PHARMACEUTICAL SCIENCE,Assam,KAMRUP,Private-Self Financing,PHARMACY,"Assam Science and Technology University, Guwahati",UNDER GRADUATE,PHARMACY,ACCREDITED,NBA,30-06-2022,100
7,1-9317948889,GURU NANAK INSTITUTE OF PHARMACEUTICAL SCIENCE TECHNOLOGY,West Bengal,KOLKATA,Private-Self Financing,PHARMACY,"Maulana Abul Kalam Azad University of Technology, West Bengal",UNDER GRADUATE,PHARMACY,ACCREDITED,NBA,30-06-2022,100
8,1-9317987869,BUNDELKHAND INSTITUTE OF ENGINEERING TECHNOLOGY JHANSI,Uttar Pradesh,JHANSI,Government,ENGINEERING AND TECHNOLOGY,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",UNDER GRADUATE,CHEMICAL ENGINEERING,ACCREDITED,NBA,30-06-2023,30
9,1-9317987869,BUNDELKHAND INSTITUTE OF ENGINEERING TECHNOLOGY JHANSI,Uttar Pradesh,JHANSI,Government,ENGINEERING AND TECHNOLOGY,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,45
10,1-9317993164,INDIRA SCHOOL OF BUSINESS STUDIES,Maharashtra,PUNE,Private-Self Financing,MANAGEMENT,"University of Pune, Pune",POST GRADUATE,MBA,ACCREDITED,NBA,30-06-2022,120
11,1-9317990030,SANT GAJANAN MAHARAJ RURAL POLYTECHNIC,Maharashtra,KOLHAPUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Maharashtra State Board of Technical Education, Mumbai",DIPLOMA,COMPUTER ENGINEERING,ACCREDITED,NBA,30-06-2023,60
12,1-9317990030,SANT GAJANAN MAHARAJ RURAL POLYTECHNIC,Maharashtra,KOLHAPUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Maharashtra State Board of Technical Education, Mumbai",DIPLOMA,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2023,60
13,1-9317990030,SANT GAJANAN MAHARAJ RURAL POLYTECHNIC,Maharashtra,KOLHAPUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Maharashtra State Board of Technical Education, Mumbai",DIPLOMA,ELECTRICAL ENGINEERING,ACCREDITED,NBA,30-06-2023,60
14,1-9317990030,SANT GAJANAN MAHARAJ RURAL POLYTECHNIC,Maharashtra,KOLHAPUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Maharashtra State Board of Technical Education, Mumbai",DIPLOMA,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2023,60
15,1-9317985449,INSTITUTE OF ENGINEERING MANAGEMENT,West Bengal,KOLKATA,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Maulana Abul Kalam Azad University of Technology, West Bengal",UNDER GRADUATE,ELECTRONICS AND COMMUNICATIONS ENGINEERING,ACCREDITED,NBA,30-06-2021,180
16,1-9317985449,INSTITUTE OF ENGINEERING MANAGEMENT,West Bengal,KOLKATA,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Maulana Abul Kalam Azad University of Technology, West Bengal",UNDER GRADUATE,INFORMATION TECHNOLOGY,ACCREDITED,NBA,30-06-2021,60
17,1-9317981567,CENTRE FOR COMPUTERS AND COMMUNICATION TECHNOLOGY CCCT ,Sikkim,SOUTH SIKKIM,Government,ENGINEERING AND TECHNOLOGY,"Directorate of Technical Education, Sikkim",DIPLOMA,COMPUTER SCIENCE AND TECHNOLOGY,ACCREDITED,NBA,30-06-2021,60
18,1-9317981567,CENTRE FOR COMPUTERS AND COMMUNICATION TECHNOLOGY CCCT ,Sikkim,SOUTH SIKKIM,Government,ENGINEERING AND TECHNOLOGY,"Directorate of Technical Education, Sikkim",DIPLOMA,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2021,60
19,1-9317976889,ST VINCENT PALLOTTI COLLEGE OF ENGG TECHNOLOGY NAGPUR,Maharashtra,NAGPUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur",UNDER GRADUATE,COMPUTER ENGINEERING,ACCREDITED,NBA,30-06-2021,120
20,1-9317976889,ST VINCENT PALLOTTI COLLEGE OF ENGG TECHNOLOGY NAGPUR,Maharashtra,NAGPUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur",UNDER GRADUATE,ELECTRICAL ENGINEERING,ACCREDITED,NBA,30-06-2021,60
21,1-9318061721,KARUNYA INSTITUTE OF TECHNOLOGY AND SCIENCES,Tamil Nadu,COIMBATORE,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Karunya Institute of Technology and Sciences, Coimbatore",UNDER GRADUATE,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2021,60
22,1-9318061721,KARUNYA INSTITUTE OF TECHNOLOGY AND SCIENCES,Tamil Nadu,COIMBATORE,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Karunya Institute of Technology and Sciences, Coimbatore",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2021,120
23,1-9318061721,KARUNYA INSTITUTE OF TECHNOLOGY AND SCIENCES,Tamil Nadu,COIMBATORE,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Karunya Institute of Technology and Sciences, Coimbatore",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2022,300
24,1-9318061721,KARUNYA INSTITUTE OF TECHNOLOGY AND SCIENCES,Tamil Nadu,COIMBATORE,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Karunya Institute of Technology and Sciences, Coimbatore",UNDER GRADUATE,BIOTECHNOLOGY,ACCREDITED,NBA,30-06-2022,120
25,1-9318061721,KARUNYA INSTITUTE OF TECHNOLOGY AND SCIENCES,Tamil Nadu,COIMBATORE,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Karunya Institute of Technology and Sciences, Coimbatore",UNDER GRADUATE,ELECTRONICS AND COMMUNICATION ENGINEERING,ACCREDITED,NBA,30-06-2022,240
26,1-9318000543,KALINGA INSTITUE OF INDUSTRIAL TECHNOLOGY,Odisha,KHORDHA,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"KIIT University, Bhubaneswar",UNDER GRADUATE,ELECTRONICS AND INSTRUMENTATION ENGINEERING,ACCREDITED,NBA,30-06-2022,60
27,1-9318000543,KALINGA INSTITUE OF INDUSTRIAL TECHNOLOGY,Odisha,KHORDHA,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"KIIT University, Bhubaneswar",UNDER GRADUATE,ELECTRONICS AND ELECTRICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,120
28,1-9318000543,KALINGA INSTITUE OF INDUSTRIAL TECHNOLOGY,Odisha,KHORDHA,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"KIIT University, Bhubaneswar",UNDER GRADUATE,INFORMATION TECHNOLOGY,ACCREDITED,NBA,30-06-2025,120
29,1-9318010484,SILICON INSTITUTE OF TECHNOLOGY,Odisha,KHORDHA,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Biju Patnaik University of Technology, Bhubaneswar",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2021,180
30,1-9318010484,SILICON INSTITUTE OF TECHNOLOGY,Odisha,KHORDHA,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Biju Patnaik University of Technology, Bhubaneswar",UNDER GRADUATE,ELECTRONICS AND COMMUNICATIONS ENGINEERING,ACCREDITED,NBA,30-06-2021,180
31,1-9318010484,SILICON INSTITUTE OF TECHNOLOGY,Odisha,KHORDHA,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Biju Patnaik University of Technology, Bhubaneswar",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2021,180
32,1-9318036969,JCT COLLEGE OF ENGINEERING AND TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2021,120
33,1-9318036969,JCT COLLEGE OF ENGINEERING AND TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2021,60
34,1-9318036969,JCT COLLEGE OF ENGINEERING AND TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2021,60
35,1-9318036969,JCT COLLEGE OF ENGINEERING AND TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,PETROCHEMICAL ENGINEERING,ACCREDITED,NBA,30-06-2021,60
36,1-9318990222,G NARAYANAMMA INSTITUTE OF TECHNOLOGY SCIENCE FOR WOMEN,Telangana,HYDERABAD,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Hyderabad",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2024,180
37,1-9318990222,G NARAYANAMMA INSTITUTE OF TECHNOLOGY SCIENCE FOR WOMEN,Telangana,HYDERABAD,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Hyderabad",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2024,120
38,1-9318990222,G NARAYANAMMA INSTITUTE OF TECHNOLOGY SCIENCE FOR WOMEN,Telangana,HYDERABAD,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Hyderabad",UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,ACCREDITED,NBA,30-06-2024,180
39,1-9318990222,G NARAYANAMMA INSTITUTE OF TECHNOLOGY SCIENCE FOR WOMEN,Telangana,HYDERABAD,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Hyderabad",UNDER GRADUATE,INFORMATION TECHNOLOGY,ACCREDITED,NBA,30-06-2024,120
40,1-9318990222,G NARAYANAMMA INSTITUTE OF TECHNOLOGY SCIENCE FOR WOMEN,Telangana,HYDERABAD,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Hyderabad",POST GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2022,18
41,1-9318990222,G NARAYANAMMA INSTITUTE OF TECHNOLOGY SCIENCE FOR WOMEN,Telangana,HYDERABAD,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Hyderabad",POST GRADUATE,POWER ELECTRONICS AND ELECTRICAL DRIVES,ACCREDITED,NBA,30-06-2022,18
42,1-9318990222,G NARAYANAMMA INSTITUTE OF TECHNOLOGY SCIENCE FOR WOMEN,Telangana,HYDERABAD,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Hyderabad",POST GRADUATE,COMPUTER NETWORKS AND INFORMATION SECURITY,ACCREDITED,NBA,30-06-2022,18
43,1-9318993805,ACHARYA B M REDDY COLLEGE OF PHARMACY,Karnataka,BANGALORE URBAN,Private-Self Financing,PHARMACY,"Rajiv Gandhi University of Health Science, Bengaluru",UNDER GRADUATE,PHARMACY,ACCREDITED,NBA,11/9/2022,100
44,1-9318994089,NMAM INSTITUTE OF TECHNOLOGY NITTE,Karnataka,UDUPI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Visvesvaraya?Technological University, Belgaum",UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,ACCREDITED,NBA,30-06-2021,180
45,1-9318994089,NMAM INSTITUTE OF TECHNOLOGY NITTE,Karnataka,UDUPI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Visvesvaraya?Technological University, Belgaum",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2021,180
46,1-9318994089,NMAM INSTITUTE OF TECHNOLOGY NITTE,Karnataka,UDUPI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Visvesvaraya?Technological University, Belgaum",UNDER GRADUATE,INFORMATION SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2021,180
47,1-9318994089,NMAM INSTITUTE OF TECHNOLOGY NITTE,Karnataka,UDUPI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Visvesvaraya?Technological University, Belgaum",UNDER GRADUATE,BIOTECHNOLOGY,ACCREDITED,NBA,30-06-2021,60
48,1-9318994089,NMAM INSTITUTE OF TECHNOLOGY NITTE,Karnataka,UDUPI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Visvesvaraya?Technological University, Belgaum",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2021,120
49,1-9318994089,NMAM INSTITUTE OF TECHNOLOGY NITTE,Karnataka,UDUPI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Visvesvaraya?Technological University, Belgaum",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2021,120
50,1-9318994089,NMAM INSTITUTE OF TECHNOLOGY NITTE,Karnataka,UDUPI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Visvesvaraya?Technological University, Belgaum",UNDER GRADUATE,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2021,120
51,1-9318999545,PRIN K M KUNDNANI COLLEGE OF PHARMACY,Maharashtra,MUMBAI CITY,Govt aided,PHARMACY,"Mumbai University, Mumbai",UNDER GRADUATE,PHARMACY,ACCREDITED,NBA,30-06-2023,60
52,1-9319706447,KOLHAPUR INSTITUTE OF TECHNOLOGY S COLLEGE OF ENGINEERING AUTONOMOUS KOLHAPUR,Maharashtra,KOLHAPUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Shivaji University, Kolhapur",UNDER GRADUATE,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2023,120
53,1-9319706447,KOLHAPUR INSTITUTE OF TECHNOLOGY S COLLEGE OF ENGINEERING AUTONOMOUS KOLHAPUR,Maharashtra,KOLHAPUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Shivaji University, Kolhapur",UNDER GRADUATE,ELECTRONICS & TELE-COMMUNICATION ENGINEERING,ACCREDITED,NBA,30-06-2022,120
54,1-9319706447,KOLHAPUR INSTITUTE OF TECHNOLOGY S COLLEGE OF ENGINEERING AUTONOMOUS KOLHAPUR,Maharashtra,KOLHAPUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Shivaji University, Kolhapur",UNDER GRADUATE,CIVIL & ENVIRONMENTAL ENGINEERING,ACCREDITED,NBA,30-06-2021,60
55,1-9319706447,KOLHAPUR INSTITUTE OF TECHNOLOGY S COLLEGE OF ENGINEERING AUTONOMOUS KOLHAPUR,Maharashtra,KOLHAPUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Shivaji University, Kolhapur",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2021,180
56,1-9318026030,GITA AUTONOMOUS COLLEGE BHUBANESWAR,Odisha,KHORDHA,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Biju Patnaik University of Technology, Bhubaneswar",UNDER GRADUATE,ELECTRONICS AND COMMUNICATIONS ENGINEERING,ACCREDITED,NBA,30-06-2021,60
57,1-9318026030,GITA AUTONOMOUS COLLEGE BHUBANESWAR,Odisha,KHORDHA,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Biju Patnaik University of Technology, Bhubaneswar",UNDER GRADUATE,ELECTRICAL ENGINEERING,ACCREDITED,NBA,30-06-2021,60
58,1-9318026030,GITA AUTONOMOUS COLLEGE BHUBANESWAR,Odisha,KHORDHA,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Biju Patnaik University of Technology, Bhubaneswar",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2021,120
59,1-9318026030,GITA AUTONOMOUS COLLEGE BHUBANESWAR,Odisha,KHORDHA,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Biju Patnaik University of Technology, Bhubaneswar",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2021,180
60,1-9318053063,MANAV RACHNA INTERNATIONAL INSTITUTE OF RESEARCH AND STUDIES,Haryana,FARIDABAD,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,Manav Rachna International Institute of Research and Studies (Formerly Manav Rachna Intl University),UNDER GRADUATE,BIOTECHNOLOGY,ACCREDITED,NBA,30-06-2021,30
61,1-9318053063,MANAV RACHNA INTERNATIONAL INSTITUTE OF RESEARCH AND STUDIES,Haryana,FARIDABAD,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,Manav Rachna International Institute of Research and Studies (Formerly Manav Rachna Intl University),UNDER GRADUATE,COMPUTER SCIENCE & ENGINEERING,ACCREDITED,NBA,30-06-2021,240
62,1-9318053063,MANAV RACHNA INTERNATIONAL INSTITUTE OF RESEARCH AND STUDIES,Haryana,FARIDABAD,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,Manav Rachna International Institute of Research and Studies (Formerly Manav Rachna Intl University),UNDER GRADUATE,ELECTRONICS AND COMMUNICATIONS ENGINEERING,ACCREDITED,NBA,30-06-2021,60
63,1-9318053063,MANAV RACHNA INTERNATIONAL INSTITUTE OF RESEARCH AND STUDIES,Haryana,FARIDABAD,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,Manav Rachna International Institute of Research and Studies (Formerly Manav Rachna Intl University),UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2021,60
64,1-9318018876,JAMIA MILLIA ISLAMIA A CENTRAL UNIVERSITY ,Delhi,SOUTH DELHI,Government,ENGINEERING AND TECHNOLOGY,"Jamia Millia Islamia, New Delhi",UNDER GRADUATE,COMPUTER SCIENCE & ENGINEERING,ACCREDITED,NBA,30-06-2022,140
65,1-9318018876,JAMIA MILLIA ISLAMIA A CENTRAL UNIVERSITY ,Delhi,SOUTH DELHI,Government,ENGINEERING AND TECHNOLOGY,"Jamia Millia Islamia, New Delhi",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,140
66,1-9318018876,JAMIA MILLIA ISLAMIA A CENTRAL UNIVERSITY ,Delhi,SOUTH DELHI,Government,ENGINEERING AND TECHNOLOGY,"Jamia Millia Islamia, New Delhi",UNDER GRADUATE,ELECTRICAL ENGINEERING,ACCREDITED,NBA,30-06-2025,140
67,1-9319518548,GOVT ENGINEERING COLLEGE BARTON HILL,Kerala,THIRUVANANTHAPURAM,Government,ENGINEERING AND TECHNOLOGY,"APJ Abdul Kalam Technological University, Kerala",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2021,60
68,1-9319518548,GOVT ENGINEERING COLLEGE BARTON HILL,Kerala,THIRUVANANTHAPURAM,Government,ENGINEERING AND TECHNOLOGY,"APJ Abdul Kalam Technological University, Kerala",UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,ACCREDITED,NBA,30-06-2021,60
69,1-9319518548,GOVT ENGINEERING COLLEGE BARTON HILL,Kerala,THIRUVANANTHAPURAM,Government,ENGINEERING AND TECHNOLOGY,"APJ Abdul Kalam Technological University, Kerala",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2021,60
70,1-9317352234,KARPAGAM COLLEGE OF ENGINEERING,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2022,180
71,1-9317352234,KARPAGAM COLLEGE OF ENGINEERING,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2022,120
72,1-9317352234,KARPAGAM COLLEGE OF ENGINEERING,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,ACCREDITED,NBA,30-06-2022,180
73,1-9317352234,KARPAGAM COLLEGE OF ENGINEERING,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,INFORMATION TECHNOLOGY,ACCREDITED,NBA,30-06-2022,120
74,1-9317352234,KARPAGAM COLLEGE OF ENGINEERING,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,120
75,1-9318075515,SATHYABAMA INSTITUTE OF SCIENCE AND TECHNOLOGY,Tamil Nadu,KANCHIPURAM,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Sathyabama Institute of Science and Technology, Chennai",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2023,960
76,1-9318075515,SATHYABAMA INSTITUTE OF SCIENCE AND TECHNOLOGY,Tamil Nadu,KANCHIPURAM,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Sathyabama Institute of Science and Technology, Chennai",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2023,60
77,1-9318075515,SATHYABAMA INSTITUTE OF SCIENCE AND TECHNOLOGY,Tamil Nadu,KANCHIPURAM,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Sathyabama Institute of Science and Technology, Chennai",UNDER GRADUATE,BIOTECHNOLOGY,ACCREDITED,NBA,30-06-2023,60
78,1-9318085721,PRESTIGE INSTITUTE OF ENGINEERING MANAGEMENT RESEARCH,Madhya Pradesh,INDORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",UNDER GRADUATE,ELECTRONICS AND COMMUNICATIONS ENGINEERING,ACCREDITED,NBA,30-06-2022,60
79,1-9318085721,PRESTIGE INSTITUTE OF ENGINEERING MANAGEMENT RESEARCH,Madhya Pradesh,INDORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2022,180
80,1-9318097873,S V POLYTECHNIC COLLEGE BHOPAL,Madhya Pradesh,BHOPAL,Government,ENGINEERING AND TECHNOLOGY,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",DIPLOMA,ELECTRICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,126
81,1-9318097873,S V POLYTECHNIC COLLEGE BHOPAL,Madhya Pradesh,BHOPAL,Government,ENGINEERING AND TECHNOLOGY,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",DIPLOMA,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,110
82,1-9318105199,MICA,Gujarat,AHMEDABAD,Private-Self Financing,MANAGEMENT,"None,",POST GRADUATE DIPLOMA,PGDM(COMMUNICATIONS),ACCREDITED,NBA,30-06-2021,180
83,1-9318147516,DHANALAKSHMI SRINIVASAN COLLEGE OF ENGINEERING,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,ELECTRONICS AND COMMUNICATIONS ENGINEERING,ACCREDITED,NBA,30-06-2023,90
84,1-9318147516,DHANALAKSHMI SRINIVASAN COLLEGE OF ENGINEERING,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2021,60
85,1-9318147516,DHANALAKSHMI SRINIVASAN COLLEGE OF ENGINEERING,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2021,60
86,1-9318147516,DHANALAKSHMI SRINIVASAN COLLEGE OF ENGINEERING,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2023,120
87,1-9318147516,DHANALAKSHMI SRINIVASAN COLLEGE OF ENGINEERING,Tamil Nadu,COIMBATORE,Private-Self Financing,MANAGEMENT,"Anna University, Chennai",POST GRADUATE,MBA,ACCREDITED,NBA,30-06-2023,120
88,1-9318147516,DHANALAKSHMI SRINIVASAN COLLEGE OF ENGINEERING,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2023,60
